Date,Ticker,Open,High,Low,Close,Adj Close,Volume
2025-10-06,BRKR,36.89,36.945,35.66,36.46,36.46,3417343.0
2025-10-07,BRKR,36.75,36.875,34.37,34.56,34.56,2820185.0
2025-10-08,BRKR,34.64,35.3701,34.1,34.63,34.63,2660621.0
2025-10-09,BRKR,34.84,37.2491,34.67,35.93,35.93,5610466.0
2025-10-10,BRKR,36.2,36.69,34.83,35.28,35.28,3703127.0
2025-10-13,BRKR,35.83,37.11,35.57,36.23,36.23,3254961.0
2025-10-14,BRKR,35.68,37.1,35.56,36.52,36.52,2259600.0
2025-10-15,BRKR,36.66,37.8,36.09,36.2,36.2,3878811.0
2025-10-16,BRKR,36.82,38.725,36.52,38.2,38.2,4243429.0
2025-10-17,BRKR,37.97,38.63,36.695,36.98,36.98,2473882.0
2025-10-20,BRKR,37.52,38.75,37.29,38.11,38.11,1625597.0
2025-10-21,BRKR,38.62,39.76,38.6,38.78,38.78,2262710.0
2025-10-22,BRKR,39.09,40.23,38.59,38.95,38.95,1990248.0
2025-10-23,BRKR,39.28,40.32,38.95,39.71,39.71,2678787.0
2025-10-24,BRKR,41.02,41.08,38.94,39.0,39.0,3353855.0
2025-10-27,BRKR,38.82,39.42,38.36,38.64,38.64,1991048.0
2025-10-28,BRKR,38.68,39.39,38.09,38.72,38.72,2118021.0
2025-10-29,BRKR,38.47,38.9688,37.45,37.74,37.74,2796210.0
2025-10-30,BRKR,37.36,37.72,36.17,36.4,36.4,3351920.0
2025-10-31,BRKR,36.31,39.215,36.06,38.94,38.94,4788366.0
2025-11-03,BRKR,37.745,39.87,37.0,38.71,38.71,4255168.0
2025-11-04,BRKR,38.625,40.69,38.28,40.38,40.38,5128439.0
2025-11-05,BRKR,39.45,40.74,39.19,40.2,40.2,3326642.0
2025-11-06,BRKR,40.07,40.435,38.75,39.31,39.31,2612070.0
2025-11-07,BRKR,38.71,40.08,38.43,39.93,39.93,2321527.0
2025-11-10,BRKR,40.11,40.98,39.91,40.78,40.78,1929865.0
2025-11-11,BRKR,40.6,41.81,40.5001,41.73,41.73,2282087.0
2025-11-12,BRKR,41.19,42.77,41.01,42.49,42.49,2800357.0
2025-11-13,BRKR,41.98,43.37,41.705,41.79,41.79,2669800.0
2025-11-14,BRKR,41.18,42.09,40.64,41.62,41.62,1776193.0
2025-11-17,BRKR,41.47,42.69,40.905,41.77,41.77,2427166.0
2025-11-18,BRKR,41.7,43.15,41.5,42.66,42.66,2885376.0
2025-11-19,BRKR,42.66,43.72,42.66,43.39,43.39,2522809.0
2025-11-20,BRKR,44.36,45.74,43.61,43.84,43.84,2979597.0
2025-11-21,BRKR,44.2,47.525,43.84,47.27,47.27,2855310.0
2025-11-24,BRKR,47.03,47.805,46.2598,47.56,47.56,2156982.0
2025-11-25,BRKR,47.43,49.72,47.325,49.33,49.33,3009353.0
2025-11-26,BRKR,49.46,49.46,47.94,49.03,49.03,2520355.0
2025-11-28,BRKR,49.0,49.19,48.48,48.81,48.81,1048522.0
2025-12-01,BRKR,48.62,49.39,47.575,47.86,47.86,2641663.0
2025-12-02,BRKR,47.82,48.26,47.03,47.29,47.29,2296485.0
2025-12-03,BRKR,47.29,48.8,47.29,47.86,47.86,1589247.0
2025-12-04,BRKR,47.39,48.835,45.37,48.38,48.38,2615284.0
2025-10-06,CADE,38.25,39.48,38.225,38.75,38.75,3835599.0
2025-10-07,CADE,38.845,39.23,38.63,39.08,39.08,2178671.0
2025-10-08,CADE,39.25,40.2,38.94,39.53,39.53,5204701.0
2025-10-09,CADE,39.53,39.875,39.08,39.77,39.77,3108245.0
2025-10-10,CADE,39.83,40.23,37.67,37.69,37.69,3336097.0
2025-10-13,CADE,38.145,38.71,37.996,38.47,38.47,2506131.0
2025-10-14,CADE,38.29,39.72,37.94,39.47,39.47,1823958.0
2025-10-15,CADE,39.76,39.76,38.81,39.0,39.0,2868456.0
2025-10-16,CADE,38.755,39.01,35.485,35.82,35.82,4821378.0
2025-10-17,CADE,36.51,36.75,35.84,36.53,36.53,2448726.0
2025-10-20,CADE,36.85,37.425,36.661,37.06,37.06,2764582.0
2025-10-21,CADE,36.37,36.585,34.81,35.63,35.63,7037242.0
2025-10-22,CADE,36.37,36.37,35.34,35.39,35.39,2810098.0
2025-10-23,CADE,35.52,35.7,35.16,35.41,35.41,1783005.0
2025-10-24,CADE,35.73,36.7,35.73,36.49,36.49,2564823.0
2025-10-27,CADE,37.7,38.645,37.51,38.09,38.09,31608912.0
2025-10-28,CADE,37.75,38.36,37.495,37.89,37.89,14291632.0
2025-10-29,CADE,37.785,37.88,36.67,37.04,37.04,8777932.0
2025-10-30,CADE,36.97,37.82,36.8458,37.38,37.38,6680688.0
2025-10-31,CADE,37.4,37.8,36.92,37.74,37.74,4588852.0
2025-11-03,CADE,37.645,37.68,37.04,37.58,37.58,3517159.0
2025-11-04,CADE,37.265,37.48,36.84,37.23,37.23,3758267.0
2025-11-05,CADE,37.405,37.685,37.08,37.31,37.31,5155146.0
2025-11-06,CADE,37.12,37.86,37.09,37.57,37.57,2743550.0
2025-11-07,CADE,37.31,38.43,37.3,38.43,38.43,3128492.0
2025-11-10,CADE,38.605,38.96,38.29,38.74,38.74,1881606.0
2025-11-11,CADE,38.65,39.0,38.5243,38.57,38.57,3068762.0
2025-11-12,CADE,38.69,39.38,38.62,38.86,38.86,2908666.0
2025-11-13,CADE,38.75,39.07,38.3,38.37,38.37,2329262.0
2025-11-14,CADE,37.94,38.59,37.74,38.41,38.41,3913193.0
2025-11-17,CADE,38.1948,38.4372,37.15,37.24,37.24,3616593.0
2025-11-18,CADE,37.135,37.83,36.96,37.51,37.51,2896589.0
2025-11-19,CADE,37.4,37.795,37.21,37.67,37.67,3686692.0
2025-11-20,CADE,37.94,38.36,37.375,37.43,37.43,2570837.0
2025-11-21,CADE,37.71,39.35,37.57,38.96,38.96,3107966.0
2025-11-24,CADE,39.05,39.3,38.71,38.96,38.96,1844427.0
2025-11-25,CADE,39.12,39.73,39.02,39.62,39.62,4039765.0
2025-11-26,CADE,39.69,40.095,39.55,39.77,39.77,3249572.0
2025-11-28,CADE,39.9,40.035,39.71,39.84,39.84,754998.0
2025-12-01,CADE,39.645,40.56,39.53,40.55,40.55,2776840.0
2025-12-02,CADE,40.68,40.83,40.26,40.52,40.52,1284710.0
2025-12-03,CADE,40.62,41.88,40.52,41.86,41.86,2716330.0
2025-12-04,CADE,41.6,42.17,41.6,42.03,42.03,1608973.0
2025-10-06,APP,684.475,687.0,545.0,587.0,587.0,14417706.0
2025-10-07,APP,595.215,644.47,592.26,631.85,631.85,11768731.0
2025-10-08,APP,631.39,654.98,616.24,629.7,629.7,5472905.0
2025-10-09,APP,615.94,618.99,591.5,600.32,600.32,6289311.0
2025-10-10,APP,599.61,601.83,566.9,569.89,569.89,6479078.0
2025-10-13,APP,590.0,591.32,562.28,590.11,590.11,4062397.0
2025-10-14,APP,576.94,596.77,566.49,590.03,590.03,3572657.0
2025-10-15,APP,603.38,615.38,592.32,602.3,602.3,3535565.0
2025-10-16,APP,612.81,616.28,594.68,605.68,605.68,3541934.0
2025-10-17,APP,600.34,612.74,589.2001,599.31,599.31,3298195.0
2025-10-20,APP,593.31,595.697,553.0,565.94,565.94,6529825.0
2025-10-21,APP,567.69,567.9999,547.129,552.64,552.64,4199919.0
2025-10-22,APP,568.73,571.582,553.24,564.82,564.82,4442841.0
2025-10-23,APP,560.84,591.31,560.84,589.7,589.7,3216113.0
2025-10-24,APP,607.565,627.11,605.5001,620.0,620.0,4100373.0
2025-10-27,APP,634.25,645.7,620.73,643.1,643.1,3765138.0
2025-10-28,APP,643.99,649.6474,620.87,626.82,626.82,2545057.0
2025-10-29,APP,627.41,633.755,617.2,631.2,631.2,3014722.0
2025-10-30,APP,622.95,638.38,619.75,620.62,620.62,3560160.0
2025-10-31,APP,621.56,652.87,621.56,637.33,637.33,4312142.0
2025-11-03,APP,646.985,654.9,620.6,632.14,632.14,3255018.0
