Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2025-10-27,AMKR,33.6,33.82,32.97,33.18,33.18,4820337.0,63.49331235247836,30.26,33.33,False,False
2025-10-28,AMKR,30.61,32.98,29.5,32.16,32.16,9760013.0,56.021756021756005,30.4421,33.82,False,False
2025-10-29,AMKR,32.3,33.75,32.3,32.69,32.69,4759312.0,57.69805680119581,29.5,33.82,False,False
2025-10-30,AMKR,32.405,32.64,31.74,31.92,31.92,2582540.0,65.53480475382003,29.5,33.82,False,False
2025-10-31,AMKR,32.16,32.75,31.92,32.28,32.28,2409817.0,59.154929577464785,29.5,33.75,False,False
2025-11-03,AMKR,33.94,38.22,33.8143,37.84,37.84,10475805.0,76.52173913043478,31.74,33.75,False,False
2025-11-04,AMKR,35.66,36.798,35.19,35.25,35.25,5389313.0,62.27581941867655,31.74,38.22,False,False
2025-11-05,AMKR,35.69,37.29,35.38,36.55,36.55,3113074.0,64.63768115942028,31.92,38.22,False,False
2025-11-06,AMKR,36.66,36.71,34.46,35.15,35.15,3538485.0,60.46637744034707,33.8143,38.22,False,True
2025-11-07,AMKR,34.15,34.79,33.1402,34.78,34.78,3550412.0,57.01459034792368,34.46,37.29,False,False
2025-11-10,AMKR,35.9,36.27,34.9,35.21,35.21,3665513.0,58.44370860927153,33.1402,37.29,False,False
2025-11-11,AMKR,34.79,34.811,34.12,34.26,34.26,1647821.0,59.86433013001695,33.1402,36.71,False,False
2025-11-12,AMKR,34.75,35.26,34.29,34.47,34.47,2074729.0,57.45955662073097,33.1402,36.27,False,False
2025-11-13,AMKR,33.72,34.1024,31.37,31.95,31.95,3383650.0,47.774158523344184,34.12,36.27,False,False
2025-11-14,AMKR,30.52,32.49,30.45,31.68,31.68,3138104.0,45.89715536105033,31.37,35.26,False,False
2025-11-17,AMKR,31.09,32.08,30.6,30.89,30.89,2270087.0,46.48199445983381,30.45,35.26,False,False
2025-11-18,AMKR,30.36,31.09,29.762,30.69,30.69,3073502.0,44.356659142212195,30.45,34.1024,False,False
2025-11-19,AMKR,31.12,31.98,30.63,31.43,31.43,2333945.0,48.61503674392311,29.762,32.49,False,False
2025-11-20,AMKR,33.485,33.85,30.14,30.19,30.19,4138202.0,44.372644049542274,29.762,32.08,False,True
2025-11-21,AMKR,30.25,32.42,30.03,32.05,32.05,3650759.0,30.531271015467354,29.762,33.85,False,False
2025-11-24,AMKR,32.45,33.35,32.35,33.135,33.135,3213424.0,42.08754208754207,30.03,33.85,False,False
2025-11-25,AMKR,33.0,33.98,32.4,33.8,33.8,2622421.0,39.19874312647289,30.03,33.85,False,False
2025-11-26,AMKR,34.0,35.265,33.94,34.92,34.92,2461552.0,49.076305220883555,30.03,33.98,False,False
2025-11-28,AMKR,35.32,36.43,35.32,36.39,36.39,1901630.0,55.9409594095941,32.35,35.265,False,False
2025-12-01,AMKR,35.86,38.02,35.74,37.74,37.74,3329566.0,58.74222529371113,32.4,36.43,False,False
2025-12-02,AMKR,38.44,40.93,37.92,40.65,40.65,5122447.0,69.44613511868533,33.94,38.02,False,False
2025-12-03,AMKR,40.755,44.065,40.34,43.93,43.93,5742919.0,74.25641025641028,35.32,40.93,False,False
2025-12-04,AMKR,43.355,43.91,42.6,43.18,43.18,4588489.0,81.66948674562889,35.74,44.065,False,False
2025-10-27,APG,35.015,35.185,34.5,34.67,34.67,1515080.0,51.166407465007765,33.52,35.4,False,False
2025-10-28,APG,34.59,34.71,34.21,34.31,34.31,1493820.0,41.176470588235325,33.52,35.4,False,False
2025-10-29,APG,34.25,35.17,34.2301,34.46,34.46,3768935.0,45.21739130434784,34.21,35.4,False,False
2025-10-30,APG,35.39,35.64,34.02,35.07,35.07,3946524.0,59.44444444444448,34.21,35.185,False,False
2025-10-31,APG,35.11,36.83,35.11,36.82,36.82,5649180.0,67.01807228915663,34.02,35.64,False,False
2025-11-03,APG,37.04,37.04,35.625,35.78,35.78,5095498.0,57.444005270092255,34.02,36.83,False,False
2025-11-04,APG,35.395,35.735,34.874,35.43,35.43,2256277.0,55.68326947637293,34.02,37.04,False,False
2025-11-05,APG,35.39,36.545,35.24,36.38,36.38,2668110.0,61.24567474048444,34.874,37.04,False,False
2025-11-06,APG,36.5,36.98,35.8425,36.07,36.07,2639935.0,60.40955631399316,34.874,37.04,False,False
2025-11-07,APG,35.16,36.27,35.16,36.25,36.25,3570193.0,58.52205005959475,34.874,36.98,False,False
2025-11-10,APG,36.5,37.77,36.335,37.63,37.63,3069749.0,63.86292834890965,35.16,36.98,False,False
2025-11-11,APG,37.52,37.9098,37.44,37.53,37.53,3051992.0,73.1272294887039,35.16,37.77,False,False
2025-11-12,APG,37.65,38.5,37.61,38.36,38.36,3469573.0,72.96650717703345,35.16,37.9098,False,False
2025-11-13,APG,38.34,38.58,37.47,37.53,37.53,3445647.0,65.43624161073825,36.335,38.5,False,False
2025-11-14,APG,37.09,37.9,36.85,37.35,37.35,4473046.0,64.85587583148558,37.44,38.58,False,False
2025-11-17,APG,37.12,37.91,36.81,37.4,37.4,5804462.0,67.73823191733638,36.85,38.58,False,False
2025-11-18,APG,37.14,37.47,36.61,37.0,37.0,2377983.0,64.17410714285714,36.81,38.58,False,False
